ID,Activity ID,Activity Name,Project ID,Project Name,Activity type,Parent WBS ID,Resources,Resource IDs,Primary Resource,Schedule % Complete,Activity Status,Planned Start,Actual Start,Planned Finish,Actual Finish,Predecessor Details,Predecessors,Successor Details,Successors,Project Week Planned Start,Project Week Actual Start,Project Week Planned Finish,Project Week Actual Finish,Project Month Planned Start,Project Month Actual Start,Project Month Planned Finish,Project Month Actual Finish,Activity nth Percentile Rank by Start Date,Total Float,Full Path,In Degree Original,Out Degree Original,Betweeness Centrality Original,Forward Reach Original,Reverse Reach Original,Duration Original,Critical Path Index Original,Page Rank Original,In Degree Normalized,Out Degree Normalized,Betweeness Centrality Normalized,Forward Reach Normalized,Reverse Reach Normalized,Duration Normalized,Critical Path Index Normalized,Page Rank Normalized
1.1.1.2,62088,"Warehouse partial demolition works and A&A Works",7112,"CCGTD1_IPS",WBS,"62087",,,,100,Complete,01/06/2021,16/12/2016,09/09/2021,21/04/2017,,,,,304,109,319,127,71,25,74,29,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Construction"
1.1.1.2-1,CS.1060,"Warehouse Demolition works",7112,"CCGTD1_IPS",TT_Task,"62088",-,-,-,100,TK_Complete,01/06/2021,16/12/2016,05/07/2021,17/01/2017,"","","","",304,109,309,113,71,25,72,26,97,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Construction;Warehouse partial demolition works and A&A Works",0,0,0.0,0.0,0.0,34,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.0762331839,1.0,0.0
1.1.1.2-2,CS.1070,"Warehouse A&A Works, ready for main contract fitout (150 Days - 14/5/2017)",7112,"CCGTD1_IPS",TT_Task,"62088",-,-,-,100,TK_Complete,01/06/2021,18/01/2017,09/09/2021,21/04/2017,"","","","",304,113,319,127,71,26,74,29,97,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Construction;Warehouse partial demolition works and A&A Works",0,0,0.0,0.0,0.0,100,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.2242152466,1.0,0.0
1.1.2,58901,"Site Preparation, Advance Works and Piling Works",7112,"CCGTD1_IPS",WBS,"58803",,,,100,Complete,29/07/2015,29/07/2015,03/07/2017,21/06/2017,,,,,0,36,100,135,0,8,23,31,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works"
1.1.2.1,58902,"Statutory Submissions",7112,"CCGTD1_IPS",WBS,"58901",,,,100,Complete,29/07/2015,29/07/2015,03/07/2017,21/06/2017,,,,,0,36,100,135,0,8,23,31,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works"
1.1.2.1.1,58909,"Piling Works for Power Island (Turbine Hall and HRSG)",7112,"CCGTD1_IPS",WBS,"58902",,,,100,Complete,01/12/2015,01/12/2015,03/07/2017,21/06/2017,,,,,17,54,100,135,4,12,23,31,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions"
1.1.2.1.1.1,58911,"BD Review and Approval",7112,"CCGTD1_IPS",WBS,"58909",,,,100,Complete,29/01/2016,29/01/2016,03/07/2017,21/06/2017,,,,,26,63,100,135,6,14,23,31,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Piling Works for Power Island (Turbine Hall and HRSG)"
1.1.2.1.1.1-1,SS.3010,"Power Island Piling - 1st Submission",7112,"CCGTD1_IPS",TT_Task,"58911",-,-,-,100,TK_Complete,01/02/2016,29/01/2016,18/04/2016,24/03/2016,"SS.3220 FS","SS.3220","SS.3050 FS,SS.3170 FS","SS.3050,SS.3170",26,63,37,70,6,14,8,16,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Piling Works for Power Island (Turbine Hall and HRSG);BD Review and Approval",1,2,0.0000001656,0.0008138352,0.0002034588,77,1.0,0.0001503957,0.0068493151,0.0061538462,0.00025,0.0020887728,0.0006435006,0.1726457399,1.0,0.0283369572
1.1.2.1.1.1-2,SS.3050,"Power Island Piling - Amendment",7112,"CCGTD1_IPS",TT_Task,"58911",-,-,-,100,TK_Complete,09/08/2016,09/08/2016,21/09/2016,09/09/2016,"SS.3010 FS","SS.3010","SS.3080 FS","SS.3080",53,90,60,95,12,21,14,22,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Piling Works for Power Island (Turbine Hall and HRSG);BD Review and Approval",1,1,0.0000000828,0.0002034588,0.0004069176,43,1.0,0.0001598706,0.0068493151,0.0030769231,0.000125,0.0005221932,0.0012870013,0.0964125561,1.0,0.0322192488
1.1.2.1.1.1-3,SS.3110,"BA14 submission & pile test",7112,"CCGTD1_IPS",TT_Task,"58911",-,-,-,100,TK_Complete,25/05/2017,25/05/2017,03/07/2017,21/06/2017,"","","","",95,131,100,135,22,30,23,31,5,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Piling Works for Power Island (Turbine Hall and HRSG);BD Review and Approval",0,0,0.0,0.0,0.0,39,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.0874439462,1.0,0.0
1.1.2.1.1.1-4,SS.3080,"Power Island Piling - Consent",7112,"CCGTD1_IPS",TT_Task,"58911",-,-,-,100,TK_Complete,12/09/2016,09/09/2016,11/11/2016,25/10/2016,"SS.3050 FS","SS.3050","","",58,95,67,101,13,22,15,23,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Piling Works for Power Island (Turbine Hall and HRSG);BD Review and Approval",1,0,0.0,0.0,0.0006103764,60,1.0,0.0002173423,0.0068493151,0.0,0.0,0.0,0.0019305019,0.134529148,1.0,0.0557681979
1.1.2.1.1.1-5,SS.3120,"Piling 1st Submission",7112,"CCGTD1_IPS",TT_Task,"58911",-,-,-,100,TK_Complete,29/01/2016,29/01/2016,28/03/2016,24/03/2016,"","","","",26,63,34,70,6,14,8,16,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Piling Works for Power Island (Turbine Hall and HRSG);BD Review and Approval",0,0,0.0,0.0,0.0,59,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.1322869955,1.0,0.0
1.1.2.1.1.1-6,SS.3130,"Piling 1st  Amendment",7112,"CCGTD1_IPS",TT_Task,"58911",-,-,-,100,TK_Complete,09/08/2016,09/08/2016,15/09/2016,09/09/2016,"","","","",53,90,59,95,12,21,13,22,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Piling Works for Power Island (Turbine Hall and HRSG);BD Review and Approval",0,0,0.0,0.0,0.0,37,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.0829596413,1.0,0.0
1.1.2.1.1.1-7,SS.3230,"Piling 2nd Amendment",7112,"CCGTD1_IPS",TT_Task,"58911",-,-,-,100,TK_Complete,07/11/2016,07/11/2016,07/12/2016,02/12/2016,"","","","",66,103,71,107,15,24,16,24,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Piling Works for Power Island (Turbine Hall and HRSG);BD Review and Approval",0,0,0.0,0.0,0.0,30,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.067264574,1.0,0.0
1.1.2.1.1.1-8,SS.3250,"Piling 3rd Amendment",7112,"CCGTD1_IPS",TT_Task,"58911",-,-,-,100,TK_Complete,21/02/2017,21/02/2017,24/03/2017,21/03/2017,"","","","",81,118,86,122,19,27,20,28,2,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Piling Works for Power Island (Turbine Hall and HRSG);BD Review and Approval",0,0,0.0,0.0,0.0,31,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.0695067265,1.0,0.0
1.1.2.1.1.1-9,SS.3270,"Piling 4th Amendment",7112,"CCGTD1_IPS",TT_Task,"58911",-,-,-,100,TK_Complete,21/03/2017,21/03/2017,14/04/2017,12/04/2017,"","","","",85,122,89,125,20,28,20,29,3,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Piling Works for Power Island (Turbine Hall and HRSG);BD Review and Approval",0,0,0.0,0.0,0.0,24,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.0538116592,1.0,0.0
1.1.2.1.1.1-10,SS.3300,"Piling 5th Amendment",7112,"CCGTD1_IPS",TT_Task,"58911",-,-,-,100,TK_Complete,02/05/2017,02/05/2017,22/05/2017,19/05/2017,"","","","",91,128,94,131,21,30,22,30,5,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Piling Works for Power Island (Turbine Hall and HRSG);BD Review and Approval",0,0,0.0,0.0,0.0,20,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.0448430493,1.0,0.0
1.1.2.1.1.2,58910,"Design / Submission Preparation",7112,"CCGTD1_IPS",WBS,"58909",,,,100,Complete,01/12/2015,01/12/2015,19/02/2016,28/01/2016,,,,,17,54,29,62,4,12,6,14,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Piling Works for Power Island (Turbine Hall and HRSG)"
1.1.2.1.1.2-1,SS.3220,"Prepare Power Island Piling Submission",7112,"CCGTD1_IPS",TT_Task,"58910",-,-,-,100,TK_Complete,01/12/2015,01/12/2015,19/02/2016,28/01/2016,"","","SS.3010 FS","SS.3010",17,54,29,62,4,12,6,14,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Piling Works for Power Island (Turbine Hall and HRSG);Design / Submission Preparation",0,1,0.0,0.001017294,0.0,80,1.0,0.0000812387,0.0,0.0030769231,0.0,0.0026109661,0.0,0.1793721973,1.0,0.0
1.1.2.1.2,58906,"Warehouse partial demolition and A&A Works",7112,"CCGTD1_IPS",WBS,"58902",,,,100,Complete,29/07/2015,29/07/2015,03/11/2016,28/04/2017,,,,,0,36,66,128,0,8,15,29,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions"
1.1.2.1.2.1,58908,"BD Review and Approval",7112,"CCGTD1_IPS",WBS,"58906",,,,100,Complete,03/11/2015,03/11/2015,03/11/2016,28/04/2017,,,,,13,50,66,128,3,11,15,29,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Warehouse partial demolition and A&A Works"
1.1.2.1.2.1-1,SS.3060,"Warehouse demolition and A&A works (GBP) - Amendment Submission",7112,"CCGTD1_IPS",TT_Task,"58908",-,-,-,100,TK_Complete,01/09/2016,25/08/2016,12/10/2016,04/10/2016,"SS.3000 FS,SS.3190 FS","SS.3000,SS.3190","SS.3070 FS","SS.3070",57,92,63,98,13,21,14,23,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Warehouse partial demolition and A&A Works;BD Review and Approval",2,1,0.0000000621,0.0002034588,0.0006103764,41,1.0,0.0001798199,0.0136986301,0.0030769231,0.00009375,0.0005221932,0.0019305019,0.0919282511,1.0,0.0403934486
1.1.2.1.2.1-2,SS.3000,"Warehouse demolition and A&A works (GBP & Structural) - 1st Submission",7112,"CCGTD1_IPS",TT_Task,"58908",-,-,-,100,TK_Complete,03/11/2015,03/11/2015,05/01/2016,28/12/2015,"SS.3180 FS","SS.3180","SS.3060 FS,SS.3061 FS","SS.3060,SS.3061",13,50,22,58,3,11,5,13,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Warehouse partial demolition and A&A Works;BD Review and Approval",1,2,0.0000001242,0.0006103764,0.0002034588,63,1.0,0.0001503957,0.0068493151,0.0061538462,0.0001875,0.0015665796,0.0006435006,0.1412556054,1.0,0.0283369572
1.1.2.1.2.1-3,SS.3070,"Warehouse demolition and A&A works - Consent",7112,"CCGTD1_IPS",TT_Task,"58908",-,-,-,100,TK_Complete,26/09/2016,20/10/2016,03/11/2016,21/11/2016,"SS.3060 FS,SS.3061 FS","SS.3060,SS.3061","","",60,100,66,105,14,23,15,24,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Warehouse partial demolition and A&A Works;BD Review and Approval",2,0,0.0,0.0,0.001017294,38,1.0,0.0003873839,0.0136986301,0.0,0.0,0.0,0.0032175032,0.0852017937,1.0,0.1254424053
1.1.2.1.2.1-4,SS.3061,"Warehouse demolition and A&A works (Structural)- Amendment Submission",7112,"CCGTD1_IPS",TT_Task,"58908",-,-,-,100,TK_Complete,01/09/2016,05/04/2017,12/10/2016,28/04/2017,"SS.3000 FS,SS.3190 FS","SS.3000,SS.3190","SS.3070 FS","SS.3070",57,124,63,128,13,29,14,29,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Warehouse partial demolition and A&A Works;BD Review and Approval",2,1,0.0000000621,0.0002034588,0.0006103764,41,1.0,0.0001798199,0.0136986301,0.0030769231,0.00009375,0.0005221932,0.0019305019,0.0919282511,1.0,0.0403934486
1.1.2.1.2.2,58907,"Design / Submission Preparation",7112,"CCGTD1_IPS",WBS,"58906",,,,100,Complete,29/07/2015,29/07/2015,05/09/2016,24/08/2016,,,,,0,36,57,92,0,8,13,21,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Warehouse partial demolition and A&A Works"
1.1.2.1.2.2-1,SS.3190,"Prepare warehouse demolition and A&A works amendment",7112,"CCGTD1_IPS",TT_Task,"58907",-,-,-,100,TK_Complete,04/07/2016,02/07/2016,05/09/2016,24/08/2016,"","","SS.3060 FS,SS.3061 FS","SS.3060,SS.3061",48,85,57,92,11,19,13,21,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Warehouse partial demolition and A&A Works;Design / Submission Preparation",0,2,0.0,0.0006103764,0.0,63,1.0,0.0000812387,0.0,0.0061538462,0.0,0.0015665796,0.0,0.1412556054,1.0,0.0
1.1.2.1.2.2-2,SS.3180,"Prepare warehouse demolition and A&A works",7112,"CCGTD1_IPS",TT_Task,"58907",-,-,-,100,TK_Complete,29/07/2015,29/07/2015,03/11/2015,02/11/2015,"","","SS.3000 FS","SS.3000",0,36,13,50,0,8,3,11,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Warehouse partial demolition and A&A Works;Design / Submission Preparation",0,1,0.0,0.0008138352,0.0,97,1.0,0.0000812387,0.0,0.0030769231,0.0,0.0020887728,0.0,0.2174887892,1.0,0.0
1.1.2.1.3,58903,"Advance works and site formation",7112,"CCGTD1_IPS",WBS,"58902",,,,100,Complete,31/03/2016,31/03/2016,19/06/2017,14/06/2017,,,,,35,71,98,134,8,16,23,31,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions"
1.1.2.1.3.1,58905,"BD Review and Approval",7112,"CCGTD1_IPS",WBS,"58903",,,,100,Complete,01/06/2016,26/05/2016,19/06/2017,14/06/2017,,,,,44,79,98,134,10,18,23,31,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Advance works and site formation"
1.1.2.1.3.1-1,SS.3140,"Drainage Diversion 1st Submission",7112,"CCGTD1_IPS",TT_Task,"58905",-,-,-,100,TK_Complete,01/06/2016,26/05/2016,17/08/2016,20/07/2016,"SS.3170 FS","SS.3170","","",44,79,55,87,10,18,12,20,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Advance works and site formation;BD Review and Approval",1,0,0.0,0.0,0.0006103764,77,1.0,0.000192432,0.0068493151,0.0,0.0,0.0,0.0019305019,0.1726457399,1.0,0.0455612246
1.1.2.1.3.1-2,SS.3200,"Drainage Diversion GBP",7112,"CCGTD1_IPS",TT_Task,"58905",-,-,-,100,TK_Complete,15/09/2016,15/09/2016,05/12/2016,11/11/2016,"","","SS.3210 FS","SS.3210",59,95,70,104,13,22,16,24,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Advance works and site formation;BD Review and Approval",0,1,0.0,0.0002034588,0.0,81,1.0,0.0000812387,0.0,0.0030769231,0.0,0.0005221932,0.0,0.1816143498,1.0,0.0
1.1.2.1.3.1-3,SS.3210,"Drainage Diversion - Consent",7112,"CCGTD1_IPS",TT_Task,"58905",-,-,-,100,TK_Complete,01/12/2016,01/12/2016,09/01/2017,28/12/2016,"SS.3200 FS","SS.3200","","",70,106,75,110,16,24,17,25,1,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Advance works and site formation;BD Review and Approval",1,0,0.0,0.0,0.0002034588,39,1.0,0.0001503957,0.0068493151,0.0,0.0,0.0,0.0006435006,0.0874439462,1.0,0.0283369572
1.1.2.1.3.1-4,SS.3320,"Drainage Diversion Resubmission (Structural)",7112,"CCGTD1_IPS",TT_Task,"58905",-,-,-,100,TK_Complete,15/09/2016,15/09/2016,17/11/2016,09/11/2016,"","","","",59,95,68,103,13,22,15,24,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Advance works and site formation;BD Review and Approval",0,0,0.0,0.0,0.0,63,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.1412556054,1.0,0.0
1.1.2.1.3.1-5,SS.3340,"Drainage Diversion Resubmission (Drainage Plans)",7112,"CCGTD1_IPS",TT_Task,"58905",-,-,-,100,TK_Complete,15/09/2016,15/09/2016,17/11/2016,09/11/2016,"","","","",59,95,68,103,13,22,15,24,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Advance works and site formation;BD Review and Approval",0,0,0.0,0.0,0.0,63,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.1412556054,1.0,0.0
1.1.2.1.3.1-6,SS.3400,"Drainage Diversion 1st Amendment (Structural)",7112,"CCGTD1_IPS",TT_Task,"58905",-,-,-,100,TK_Complete,19/05/2017,19/05/2017,19/06/2017,14/06/2017,"","","","",94,131,98,134,22,30,23,31,5,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Advance works and site formation;BD Review and Approval",0,0,0.0,0.0,0.0,31,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.0695067265,1.0,0.0
1.1.2.1.3.1-7,SS.3420,"Drainage Diversion ELS 1st Submission",7112,"CCGTD1_IPS",TT_Task,"58905",-,-,-,100,TK_Complete,18/01/2017,18/01/2017,23/03/2017,16/03/2017,"","","","",77,113,86,121,17,26,20,28,1,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Advance works and site formation;BD Review and Approval",0,0,0.0,0.0,0.0,64,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.1434977578,1.0,0.0
1.1.2.1.3.1-8,SS.3430,"Drainage Diversion ELS 1st Amendment",7112,"CCGTD1_IPS",TT_Task,"58905",-,-,-,100,TK_Complete,21/04/2017,21/04/2017,23/05/2017,19/05/2017,"","","","",90,127,94,131,21,29,22,30,4,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Advance works and site formation;BD Review and Approval",0,0,0.0,0.0,0.0,32,1.0,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.0717488789,1.0,0.0
1.1.2.1.3.2,58904,"Design / Submission Preparation",7112,"CCGTD1_IPS",WBS,"58903",,,,100,Complete,31/03/2016,31/03/2016,27/04/2016,23/04/2016,,,,,35,71,39,75,8,16,9,17,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Advance works and site formation"
1.1.2.1.3.2-1,SS.3170,"Prepare Drainage Diversion Submission",7112,"CCGTD1_IPS",TT_Task,"58904",-,-,-,100,TK_Complete,31/03/2016,31/03/2016,27/04/2016,23/04/2016,"SS.3010 FS","SS.3010","SS.3140 FS","SS.3140",35,71,39,75,8,16,9,17,0,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Site Preparation, Advance Works and Piling Works;Statutory Submissions;Advance works and site formation;Design / Submission Preparation",1,1,0.0000000828,0.0002034588,0.0004069176,27,1.0,0.0001306122,0.0068493151,0.0030769231,0.000125,0.0005221932,0.0012870013,0.0605381166,1.0,0.0202306911
1.1.3,58805,"Excavation",7112,"CCGTD1_IPS",WBS,"58803",,,,100,Complete,01/06/2021,14/06/2017,05/07/2021,19/07/2017,,,,,304,134,309,139,71,31,72,32,,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works"
1.1.3-1,A3490,"Bulk excavation",7112,"CCGTD1_IPS",TT_Task,"58805",-,-,-,100,TK_Complete,01/06/2021,14/06/2017,05/07/2021,19/07/2017,"","","","",304,134,309,139,71,31,72,32,96,,"CCGT D1_Integrated Programme Schedule;EWC - Early Civil Works;Excavation",0,0,0.0,0.0,0.0,34,0.8,0.0000812387,0.0,0.0,0.0,0.0,0.0,0.0762331839,0.8,0.0
1.2,58518,"(OEM) Commissioning",7112,"CCGTD1_IPS",WBS,"58232",,,,100,Complete,23/05/2019,22/05/2019,31/05/2022,,,,,,199,235,356,,46,55,83,,,,"CCGT D1_Integrated Programme Schedule"
1.2.1,61670,"POST COMMISSIONING DELIVERABLES",7112,"CCGTD1_IPS",WBS,"58518",,,,100,Complete,31/05/2021,31/05/2021,31/05/2022,,,,,,304,341,356,,71,79,83,,,,"CCGT D1_Integrated Programme Schedule;(OEM) Commissioning"
1.2.1.1,61678,"POST TB2 P/L",7112,"CCGTD1_IPS",WBS,"61670",,,,0,NotStart,31/05/2022,,31/05/2022,,,,,,356,,356,,83,,83,,,,"CCGT D1_Integrated Programme Schedule;(OEM) Commissioning;POST COMMISSIONING DELIVERABLES"
